text,author,likes,replyCount,cleaned_text
come at me bro,@jamesrobertson1066,0,0,come at me bro
Have fun. Will find u later-- gary greenbaum is mclovin fyi...,@zekegreenbaum2077,0,0,have fun will find u later gary greenbaum is mclovin fyi
LMAO ZACK GONNA LOVE,@ee208studios,1,0,lmao zack gonna love
1 NAME?! WHO ARE YOU SEAL? lmfao,@erickluviano981,0,0, name who are you seal lmfao
I saw this in theaters a year before I started high school. What I would give to go back to those days,@XdonteatmypizzaX,12,3,i saw this in theaters a year before i started high school what i would give to go back to those days
"this trailer shows all the movie, WTF 😂",@panchow4582,1,0,this trailer shows all the movie wtf face_with_tears_of_joy
McLovin is a good name,@LJcanal21,0,0,mclovin is a good name
"Red mist, Tighten and Scott Pilgrim",@maadtee6281,0,0,red mist tighten and scott pilgrim
I currently study in university and its my first year that all my friends separate with me due to different courses😭,@alexwalker2263,0,0,i currently study in university and its my first year that all my friends separate with me due to different coursesloudly_crying_face
Best movie ever and Jonah hill's awesome 👍 love from india,@aadityaupadhyay4441,0,0,best movie ever and jonah hills awesome thumbs_up love from india
"02:00 Emma Stone looked completely different here, she was so plain, no wonder she failed in all of her auditions, she seems here as if she was trying to copy Mila Kunis",@haneen7aneen2,0,0, emma stone looked completely different here she was so plain no wonder she failed in all of her auditions she seems here as if she was trying to copy mila kunis
a must watch for every teenager,@matheusmariani3108,0,0,a must watch for every teenager
I'm just just her because I LOVE superbad it's Awesome I miss comedies like these that just didn't give  F**K 😂😂,@marquesjohnson6359,0,0,im just just her because i love superbad its awesome i miss comedies like these that just didnt give  fk face_with_tears_of_joyface_with_tears_of_joy
"Instant classic!  One of the best films of it's era.  Stands the test of time from beginning to end.  In my opinion it will be up there in my memory with films such as fear and loathing, dazed and confused, and fast times.  A movie for a generation.",@dantheman8642,148,0,instant classic  one of the best films of its era  stands the test of time from beginning to end  in my opinion it will be up there in my memory with films such as fear and loathing dazed and confused and fast times  a movie for a generation
Life will never be this good again it sucks,@anonymouswomen469,2,0,life will never be this good again it sucks
In a few short years Jonah Hill went from trying to get booze to scoring ludes,@paulorocky,0,0,in a few short years jonah hill went from trying to get booze to scoring ludes
I LOVED this movie so much 😂🙌🏾,@AlanaGurl,18,0,i loved this movie so much face_with_tears_of_joyraising_handsmedium-dark_skin_tone
I miss these kind of teenagers movie they were so good back then what happened now!,@maily241,0,0,i miss these kind of teenagers movie they were so good back then what happened now
Scott Pilgrim Hal Stewart/Titan Gwen Stacy Mantis from Kung Fu Panda as a Police officer Flint Lockwood as a Police Officer,@jacobgarrity9055,0,0,scott pilgrim hal stewarttitan gwen stacy mantis from kung fu panda as a police officer flint lockwood as a police officer
"He was like youSo, he was jewish.Rofl",@akeaek21,0,0,he was like youso he was jewishrofl
What's the song at 1:30?,@dantownsend7743,2,1,whats the song at 
God Bless you all!,@jamespatrickearlcheney4792,0,0,god bless you all
It's a funny movie and I enjoyed but when I was their age I just went to the pub. No need for fake ID it wasn't a big deal.These type of movies aren't as relatable over here in UK,@MrKeefy,0,0,its a funny movie and i enjoyed but when i was their age i just went to the pub no need for fake id it wasnt a big dealthese type of movies arent as relatable over here in uk
So this was Hal/Titan/Snotty boy when he was in high school,@danielk5489,0,0,so this was haltitansnotty boy when he was in high school
This movie makes me really sad i didn't go to highschool in America and at the same time it makes me really happy I didn't go to highschool in America 😅🤣,@fairytalesforall7643,9,0,this movie makes me really sad i didnt go to highschool in america and at the same time it makes me really happy i didnt go to highschool in america smiling_face_with_open_mouth_&_cold_sweatrolling_on_the_floor_laughing
Name a funnier movie! I'll wait...,@DreamsMom,7,1,name a funnier movie ill wait
I haven't even gone to high school and this gave me nostalgia,@majormajor7925,0,0,i havent even gone to high school and this gave me nostalgia
"One of the best to watch with your buddys, while high.",@anthead7405,0,0,one of the best to watch with your buddys while high
The best movie that Columbia has ever made,@suitableggjs4876,0,0,the best movie that columbia has ever made
When is Superbad 2 : College Days announced?,@johnphilliptecson3793,2,0,when is superbad   college days announced
I think this would be a treat right now to cheer up my Monday! 🌚,@AsifAAli,0,0,i think this would be a treat right now to cheer up my monday new_moon_face
This is easily easy better than project x and more iconic,@jokybones,1,1,this is easily easy better than project x and more iconic
I have to watch this movie 🍿😁,@Blue_Music99,0,0,i have to watch this movie popcorngrinning_face_with_smiling_eyes
This movie had no boring scenes. Love this movie,@gotmefkedup1181,8,0,this movie had no boring scenes love this movie
Legit my favorite comedy .,@TBGmario,4,0,legit my favorite comedy 
Kiss is outstanding 😁😁😁,@NavinKumar-ie5ye,1,0,kiss is outstanding grinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyes
Somehow I was able to see this in theaters when I was 11 😂,@BateMasterJeff9887,3,0,somehow i was able to see this in theaters when i was  face_with_tears_of_joy
not even a single comedy can top this,@rickduggal192,1,0,not even a single comedy can top this
"Make this movie in 2021. Good luck.One of the BEST comedy films of all time.""Well, the funny thing about about my back Jules..."" 😜",@jamesshields3452,1,0,make this movie in  good luckone of the best comedy films of all timewell the funny thing about about my back jules face_with_stuck-out_tongue_&_winking_eye
"Damn, when i watched this movie I felt like it should have been a new movie but it wasn't.",@luisfcayo,1,0,damn when i watched this movie i felt like it should have been a new movie but it wasnt
I miss my good old days - particularly miss them in covid lockdowns,@tzywg3399,3,0,i miss my good old days  particularly miss them in covid lockdowns
I consider this movie a classic,@danny91pr,6,0,i consider this movie a classic
"the ""McLovin"" name never gets old",@KDRpanda,3,0,the mclovin name never gets old
Detroit Lions = Superbad = 💊 s Eternal G Holmes BRADdoCK Detroit Lions 313 Eternal,@giancarlogonzalesdelvalle5150,1,0,detroit lions  superbad  pill s eternal g holmes braddock detroit lions  eternal
Did Anybody came here Immediately after watching the recent joe rogan with russel peter episode when he Mentioned bout this movie cuz i did.,@meghalayacarsmodz7625,1,0,did anybody came here immediately after watching the recent joe rogan with russel peter episode when he mentioned bout this movie cuz i did
Favorite movie of all time,@MrAlcoholicKoala,0,0,favorite movie of all time
Superbad Main Lesson No 2 Racism 45 Season Numerology = HulkNYK 80% Blue=Chocolate = Detroit Pistons Green=Vanilla=Orlando BlaCK Magic Red=Strawberry=NYKnicks,@giancarlogonzalesdelvalle5150,1,0,superbad main lesson no  racism  season numerology  hulknyk  bluechocolate  detroit pistons greenvanillaorlando black magic redstrawberrynyknicks
Our generations Dazed and Confused,@hoc1992,0,0,our generations dazed and confused
The teenage version off good boys,@juliangarcia8386,0,0,the teenage version off good boys
