text,author,likes,replyCount
"It's just a dream and It will never fulfill, How cruel is trump you can understand now",@EntertainmentbyA.bhutto,2,0
What tf  did I just see 💀,@Rose-l3w9b,0,0
It's the isrealis,@UkrainianRage,2,0
Sick sick sick,@Tiger-Heart,0,0
Hilarious 😂,@sgp9608,1,0
Gaza is not for sale!!!,@sumreentahir3447,2,2
Trump Gaza #1,@JimmySpace69,2,0
"If they didn't have Bibi there, it would be cool",@eesque41,0,1
"Palestine and Gaza don’t need money, it needs justice. Trump doesn’t understand how much money Arab world can invest into this holy land but it was never about money. Free Palestine ❤",@mockingbird-sm5,0,0
"Poor confused Trump, who started his real estate dream with: 'will be so ba (bad).', but quickly changed that in: 'will be so magnificent'. Well, the first is more according the truth.",@robsowka4985,1,0
I will not support the idea..unless they add a golf terrain.,@xenomorphelv4265,1,0
Discusting 🫏🫏🫏👎🏻,@ericvanlent6753,1,0
"Yeah, he really posted this...women with beards. Uhuh, yeah that's totally something he would do.",@zomgwtfbekjam,3,0
It is possible. 😂,@a.v.5078,0,0
🤮,@SuzanaMantovaniCerqueira,1,0
Bearded belly dancers!,@Jay-n262,3,0
The Mad Man,@dhhallstrom7933,1,0
Seriously twisted,@mrgerrytube,0,0
"Men in long beards dancing in genie costumes, wait what 😮?",@MajesticElOTL,1,0
"This isn't a timeline, it's a timemaze",@DarkifyDarkify,1,0
😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲,@davidreid2301,0,0
What a narcissist.,@kanchangaurikulkarni8050,1,0
Who made this video?,@nataliecase2718,0,2
He's got you guys buy the balls 😂😂😂,@ericsalinas98,0,0
Trump brings out the worst in everything,@KathleenLarsonStargazer,3,0
"It is just SO telling that his image of a better Gaza is a resort for ultra-rich people full of beach attractions, balloons, expensive clubs and luxury cars (that seemingly stray into pedestrian spaces all the time). Where are the normal people? Where is transportation for everyone who is presumably running this stuff? Are there also normal places to go?Their idea of improvement is just a tourist trap for 1M+ net worths.",@Blaze6108,2,0
Suddently cyberpunk doesn t feel like fiction anymore,@florin-alexandrustanciu5643,1,0
Elon musk is finally dressing up normally. If this was an alrernate reality😂,@j12torts,1,0
Alright Trump is still funny,@Jelawn,1,0
Such a visionary!,@brunoR0712,0,0
"""that could be so bad.. that could be so magnificent"" even youtube's subtitles cought that 😂",@amtechprinters3339,1,0
New british eara has come and control the world again,@gulamnazam1499,1,0
TRUMP GAZA NUMBER ONE,@wassimhaifi5965,4,0
Sick,@joeyknuckles2721,1,0
He's talking about Gaza like it belongs to he's mother,@wafic3563,1,0
"We are gunna see some crazy prophetic, and ancient things returning in our lifetimes.",@misfitkid1995,0,0
❌️ Trump✅️ Hamas,@ssseoks,2,1
Quel honte !!!!,@DarkDark-id9rb,1,0
"Trump himself has posted this !!!!Does he not realise that this video is satire that portrays him as a authoritarian dictator like Saddam, Gaddafi, Stalin etc that have portraits of themselves everywhere to oppress their power, and Elon Musk as some Oligarch henchman that relish showering themselves in the money they can make out of turning Gaza into a millionaires playground.Guess the ego aspect of his personality took over his thinking that this was a praising of him, and blinded him that this is in fact a protest.",@dominionscave4752,2,0
Is this video intended for The People of Gaza to watch?,@MrGlenRock,1,2
"""So we were going to do Gaza...and Panama...and Greenland...but I've talked to Elon and we've decided that what the world needs most is CONTINUITY.  More TRUMP.  That's what the world really needs for stability. So I've decided that in 4 years' time I will do you the honor of continuing to be your most-loved president - to keep protecting and saving you for many more years.  You'll thank me - you'll be SO GRATEFUL, and you know how I like gratitude. No need for expensive elections that the slimy democrats JUST WANT TO STEAL!  I will be your fabulous, brilliant president until I die. I'm doing it for you!""Fully expecting this.",@ateleskier7066,0,0
He is totally insane !!,@averilmccaffery3356,1,0
"Being a realist, Trump Gaza, if ain't happening in the next 4 years, it should not even start.",@ytmusic4342,2,0
I thought you wanted the Trans community and children to be closer...,@jloren4647,1,0
it was a satirical video unfortunately picked up by Trump as beautiful. Horrific for the creator.,@gordonthomson7533,2,0
These two are off their nuts 😂,@randulatelge6777,1,0
😂😂😂,@life4trinity,0,0
