text,author,likes,replyCount
Yall are forgetting trump is the ONE. HE CAN DODGE BULLETS AND MAKE IT LOOK LIKE HE ALSMOT GOT SHOT!,@qazqazqazqaz100,1,0
Idiocracy 😂,@Oliver-cv6pv,2,0
0:14 huh?,@mmastiff734,0,0
Most commenter here WANT this to be real. That's his joke.,@Marblegate,0,0
"We’re living in a simulation, right? Right?",@DankyDankenstein,0,1
Trump Gaza Number One....Io penso: Trump.....ummm copate....🤦🤦🤦,@flaviomasenadore2392,0,0
The Donald Trump statue will also speak 😂,@Andre-c8f,0,0
Pray for the Palestinians please ❤❤❤,@jaydefranco329,1,1
0:14 bro 💀,@daveSUStaine31,4,0
"Real time stamp on Trumps AI video......Drum roll please.🥁 ..................33 seconds!Big surprise , right?For those of you that dont know, 33 is a revered by the Free Masons, who at the upper degrees, worship Lucifer Truth.  Research.  Stay aware.  Stau alerts ⚠️ 📢  Get ready!!!",@jaydefranco329,0,0
Biff Tannen's city paradise casino?,@LicocoS,0,1
This is not backed officially by trump’s government surely? I know it’s madness but got to ask,@Vimptocandle,1,1
得道者多助，失道者寡助。留给美国的时间不多了。,@yunliu8448,0,0
This is insane! But the music is nice lol,@DicasdaNet,0,0
"He makes me laugh so hard , that level of sarcasm 😂😂",@tintinquirit8732,1,0
Trump wants to make Gaza like UAE and QatarWhat's wrong with that?,@Theworldsucks-kg5jv,0,0
Land of the Free°,@Flores9989,0,0
Trump doesn’t drink alcohol 🍺 😅,@venkat4167,1,2
❤😂❤😂❤😂😂😂😂,@jerzywieckowski7610,0,0
It is hard to believe this was not meant as a (sick) joke. It must have been.,@susanl.6367,0,0
Free free trump Gaza Free free trump Gaza,@JuJuMalemaHIVpositive,1,0
Just want to point out that musk is in the video and not vance.Shows who the real vice president is.,@treizehk5547,0,0
Beyond based,@loin462,0,0
"Trump didn't release this nonsense, you guys are so gullible!",@Josephthedreamer777,1,2
"CALL IT ""TRUMP GAZA GRAVEYARD""",@LCG0946,1,0
Love that movie Idiocracy.   Hold up that movie is us.  Fu**.!!!  We have all been drinking the koolaid.   Time to wakeup.,@irishto4706,0,0
"Trump gazans be like:""Netanyahu Akbar!""",@Capybased,1,0
If only he had that much ambition for his own country.,@josephmurphy1459,1,0
Im laughing hysterically for the first time in years,@user-user55344,3,0
Not sure how this could be any more offensive and wrong,@arwynanne,3,0
These people are sick.,@haviskam,3,0
As a fellow troll I have to respect Trump’s absolute committal to the art.,@eedobee,2,0
0:43 it is here that he speaks truth for a literal millisecond.,@Shalondria,1,0
Cross on Al Aqsa The astonishing plan,@RizwanAbbasi-t1q,0,0
So…… what’s going to happen to the people that live there? I mean they won’t be able to afford to live there anymore. This man is a true colonizer. Smh.,@stef1872,2,0
😂😂😂😂😂😂😂,@sylwiaszaek4994,0,0
"People are so sensitive in the comments sections is actually hilarious. Feelings and LEADERSHIP don’t mix well. Why don’t the people want this? Who cares if it’s called ""Gaza Trump"" it’s just name who cares. Nobody in these comments have ""emotional intelligence"". allowing emotions to heavily influence decision-making can lead to irrational choices, inconsistent behavior, and a lack of objectivity.",@jaithegloriouskid,0,0
Who is responsible for this commercial,@sherrysweeney2392,0,0
Disgusting!!!,@sumruinal351,2,0
Trump is like a cross between Saddam Hussein and a James Bond villain.,@TangBengYong,0,0
Nice idea of Trump💪,@UOlllOU,1,0
"But, who is the artist of song?",@AdrianWizardINFJ4w5,0,2
Why are guardian editors meeting with Isreali Generals and promoting trumps disgusting tripe?,@yvonnemccalla7282,0,0
Lol murica is a dystopia,@Klierowski,0,0
Where does he think all the builders will come from?,@emtibAlucard,0,0
"I find it upsetting that the apostrophe is missing in the title phrase ""what's next?""The rest of this is essentially Trump Playbook 101.Egregious, rancid, execrable, offensive and quite predictable. 😮",@BanjoLuke1,1,0
"When Trump simultaneously runs for World Peacemaker, Best POTUS, Award-winning Businessman, Renaissance Man and a Grammy winner celebrity.",@tomymontana7268,0,0
this is hilarious 😂 you have to hand it to him he is a provocateur with a great sense of humor 😂,@mrsnrub510,1,0
Question for peoples who voted Trump: Are you sane?,@superstoneanimation3891,3,0
It only gets worse from here. Americans better get used to the taste of humble pie after the next four years. It will take decades to redeem themselves internationally after Trump.,@amisotheist,3,0
Nauzubillah 😢😢😢😢😢,@Sami-xl2qv,0,0
Che schifo. Che vergogna. Mai con Trump,@serenagallazzi4284,0,0
Bruh,@enesaue2192,0,0
New colonialism is worse than you think even most brutal dictators will be shocked if they sees this,@Allen2-z8x,1,0
I also want a trump balloon 😅,@mehmetsinanyldrm1015,1,0
على دمائنا و باسم دماء الشهداء لن نجعلك تحلم أو تصل لهذا الشيء دماء الشهداء غالية,@tasnimzanned4718,0,0
suno goes hard,@catface,0,0
"""Welcome to Aza NOW Arab Free""Disguesting",@Grunt423,0,0
😂😂😂 america has become a joke!!,@Dannyboy314,0,0
Yo're Madless,@sampallato8511,0,0
So uhh are wegonna just ignore the beards on those girls dancing at 0:15 😂😂,@toxicxstomper9356,1,4
0:15 Love to see how happy these bearded men in bikinis are dancing 😂,@GeovanniPenguin,3,1
"Did everyone notice when speaking of the riviera of the Middle East, he started to say valuable. This is what happens when you run a country like a business. Lives don’t matter! The only thing that matters is the bottom line. Whether we the people can eat, have housing, or any other basic human right, is inconsequential to making as much profit as possible. We as citizens should hang our heads in shame that we did not revolt, and allowed this man to be president of our once great nation! Shame on each and everyone of us",@wandaplatt1768,2,0
This is not from Trump and is highly offensive please remove from your feed.,@karenp227,1,3
Everybody knows the Guardian doesn't care about Palestinians. They smeared Jeremy Corbyn for their overlords.,@tinkerbell1120,1,0
We have dogs running our country,@untiedshoelacesgaming,1,0
"The original creators posted it as a joke, which makes the whole thing more ridiculous",@snickerdoodle3,0,1
We’re about to have the greatest South Park season ever created,@HenryGehrdes,0,0
Does he realize the women dancers have beards?,@lariabeth76,1,2
Hope yhe folks in Deerb9rn approve,@Raigar88,0,0
Trump is a dictator.  Who’s taking away our benefits our jobs so he could build Gaza!!! Its disgraceful.,@normasanchez8196,2,0
It's very satanic.,@PHX-576,3,0
Gross,@christopherscarborough7621,0,0
"""He will deceive the very elect.""",@teresa8793,1,0
Weird way to ceasefire by buying the land between Israel and Palestinian Territories so he can act as a buffer.,@SuperEman500,0,0
So disappointed in president Trump for sharing this.,@marylynnbehrens5562,1,0
But why does the song have to be such a bop?,@johnmossey,1,0
Madness what is the world live in ?,@amiraelsayed7753,0,0
Very insensitive,@crayon5475,1,0
Sickening.. the guy has absolutely no class..,@TheCatNoOneWanted,3,0
Biff Tannen's Pleasure Paradise Casino & Hotel.,@ssdfgardiner1233,1,0
Finalmente una soluzione finale al problema palestinese.,@robertocugno6569,0,0
Harem girls on the beach had full beards.,@overcastfriday81,0,0
This is disgusting.,@rowans_remixes,3,0
Pure evil,@supanover,2,0
How can a leader of a country be so disrespectful? What a shame,@user-ji5tq3ll3z,3,0
0:27 goated Saddam Hussein reference,@burgertown1643,1,0
"He's the worst president in the history of this country. And today, he had the nerve to throw a temper tantrum in the Oval Office and say ZELENSKY was the one that made a mockery of the United States and the Oval Office. It's only been a month, guys.... I knew he was going to be even worse this time around... But I truly didn't predict him being worse than my wildest nightmares.",@Tcrror,8,0
What an odd thing to say,@CHUNKY_OATMEAL,0,0
"You got what your voted for. America is a very, very lost dream now. Europe has to stand",@ghxst1994,1,0
This new update gonna be lit 🔥,@Jonas-up3zh,0,0
"Holy Intercourse, Batman!",@prahacr1,0,0
"Don't worry, I don't think anyone thinks of you as ""cute.""",@MarieProvost77,0,0
Absolutely nauseating. What is wrong with this guy -- and the Americans who voted for him?,@cherylhaaker4802,2,0
Looks awesome! Much better looking than the last 30 years in Gaza,@JohnMicius,2,3
Fantastic,@rd123.,0,1
Old people cannot be politicians!!!!!!!!!!!!!!!!!!!!!!,@Olga-yr1mb,3,0
no like actually why is he praising himself so much,@spritelover73,1,0
Like a disney movie super villian,@Ratchet0401,2,0
Is Ellon mask the real control man 🤔,@mona12261,0,0
The Trump statue made me lol,@Trevor_Bolin,0,0
"😂😂😂 a very stu pid president, U think Gazan fighters r like your slaves in the other countries. We learn U meaning of manhood n dignity is. Money can just buy material things. Our lands value is above all your silly dreams ✌️✊🇵🇸 From Gaza land of pride that you'll just find in Gaza n Palestine",@isamel-hallak6579,3,0
Anyone notice how trump says the Middle East has less women’s rights but the only women in this vid are showing women as entertainment?,@NuclearThunderBoi,0,0
"Wow, that could be the new summer hit 2025, just need some more lyrics. I watch trump from germany, everyday a new hammer. Germany is also crazy. The indian holy scriptures say that 2025 iss the end of kali yuga, the next 20 years a time of chaos and wars.",@mariagold7226,0,0
😢,@aaee333,1,0
Shameless day,@SashGoten,1,0
Did someone just wrote a story😂,@nezamarante6467,0,0
I can't believe they voted for this man!!,@anaygautam5356,0,0
Impossible Trump 🤡  Gaza is not a playground,@mohamedmusthafa3957,2,0
What a jerk😮 how many people died here,@allanerrington3805,3,0
0:15 I guess even Trump himself didnt expect men with full grown beard dressed up as women dancing on the beach,@upthacks568,0,0
Bro why tf are we living through a hoi4 mod playthrough,@MrGasmask-vj7ou,0,0
We are in a time when the psychopaths are ruling the world. Sign for empires to collapse,@jasflower1710,0,0
Most American governors won't have problem with that,@lord_9923,0,0
In what bizarre universe is this guy ok to be a president?!,@Liddy23,2,0
"The fact that Trump posted this proves he doesn't understand sarcasm,  irony, and parody",@PaulMichael-c4q,0,0
Absolutely disgusting.,@heloisamena-zw2yw,1,0
"Anyone that fell for this troll is not safe to be out in public or by themselves. You are a danger to society if you did not know, Trump was trolling you.",@RichardTavilla,0,0
Trump Gaza here we come!!!!!,@silenceroy33,0,0
"Trump, Musk and Netanyahu are out of their minds.  This is NOT what America does. We help the underprivileged NOT the DICTATOR",@jkbartels,2,1
Trump screams out all the best held secrets.,@joannekenney6220,0,0
Gross. He is despicable.,@iamaef,2,0
Yall are getting trolled so hard i can't stop laughing.,@franklinclinton3211,1,3
Trump is the end of civilisation as we know it.,@vanhelsing8120,2,0
I like how Trump Trolls everyone!,@blakespower,0,0
I repent we are officially run by demons,@PeteRed-ig3fp,4,0
just a distraction. its working.,@mrocean8139,0,0
I’m on board with this. What other options are there? Make the area more beautiful. The US didn’t do this to Gaza and if you think it did you know which administration to blame.,@jon1450,0,0
..🚂 without transformation there is no progress..get on the train invite your friend..where are seats left. .....🚂 (😊😊😊)(☆(Jail)(🐴 )..,@Carlos-m2v1w,0,0
oh i see thats why he give israel money and everything to make the palestinians hopeless and give up their lands,@ThePixelCristal,1,0
I think it's really funny.,@heroiamarelo,1,0
😲 … 😲 … 😲 …,@vinista256,0,0
He is clearly delusional!  Will never happen!  This is Palestinians home land and he thinks he is going to just displace the people and build something no one wants but him .,@marthatahir2865,0,0
будет ли ролик от хамас ? как похорошеет омерика.,@odin_mole,0,0
it's hilarious😂,@alejandromalla,1,0
"Thank you, Donald for maintaining your stupidity so that we can definitely mark you down as the worst president. The United States has had not once but twice.😊",@TenaciousDmitchell,0,0
I actually kinda like the song its catchy,@nicholaswechsler9150,1,0
"So, peaople of gaza ware fighting not to be under any ones shoe and to be separate nation (i still think that their war and prewar crimes ware horrid and they should be punished)  and now, the will be trmup gazians instead of Palestinian.",@mumlum9057,0,0
This is awesome!,@sporktape,1,0
FREE PALESTINE🇵🇸🇵🇸,@Barbar_os,2,0
"""I don't want to sound cute or be a wise guy""--Donald, you'll never sound cute and you'd never cut it as a wise guy.",@lisabrooks9362,0,0
"Looks great, go for it Mister President, i like your vision.",@----jiz7048,1,0
Utterly disgusting.,@B-cf3bq,6,0
Hat,@PatCummins-p7c,1,0
Trump will take over Gaza,@JK_87606,0,0
America is on  autopilot mode,@l2sunshine173,2,0
why do the women have full beards?,@juanrichel6171,1,0
Why do the female dancers at 00:15 have beards? This can only mean two things: either the Trump guys have secretly a heart for trans people  or this video has been assembled with the same meticulous care for detail typical for all of Trump's actions.,@mikeyanagita5469,0,1
0:14 these women have beards... or better said men heads.,@DontKnow-hr5my,0,0
"OMG, I LOVE IT!!! ❤😂❤😂",@Shineon83,1,0
CREEP,@davidsonjt,1,0
Does he have dementia??,@tytyguy1able,1,0
Guardian Chief editor had a meeting with top I D F  staff one month into the  G E N O C I D E. Guardian = controlled opposition. Boycott Gaurdian.,@Felix-s9z7i,0,0
GREAT VIDEO,@imamyousomtimes,1,0
And people thought that King George III was mad?,@keithryder6978,0,0
The song and ad is awesome!,@DesertEagle530,2,0
Great.,@----jiz7048,0,0
"0:20-0:21 and one more thing,WHAT IS THIS?!?!",@amirizzuddin5368,0,0
"My deepest, heartfelt sympathy .... for those who don't get the joke.  Reading the comment section you have to wonder how much of it is self projection...",@alainvosselman9960,3,0
0:14 those women with beard is most American think ever,@Amen6magi,0,0
You all just got trolled by the GOAT!!!!,@steveblatt171,0,0
Can I go to the real timeline now?,@Therealtom1,0,0
Haha very funny guys. ok now where are the cameras?,@Therealtom1,0,0
And people still think he is a christian,@garvitkumar4038,0,0
😂😂😂 love it 👏👏👏Brilliant idea 👌,@Annah-ek3rq,2,0
I think his political opinions all revolve around the maximization of golf courses,@TyeMaynard,0,0
Waoooooow...(Based Based Based Based),@levelfive7662,0,0
Sick to the core,@sammak5507,1,0
"hahahahaha look at all the pearl-clutching moralizers FREAKING out, the 4chan president strikes again 🤣😂",@-TriP-,0,0
Pro-Palestinians getting mad at this show they have no sense of humor. 😄,@psykofreac9188,0,0
"As a Trump supporter, I do not support this.",@jakeusaf9401,1,3
"Sad day for satire, because ""reality"" is doing satire's job already...",@GeniDane,0,0
This is insanity,@amaryaamar,0,0
This can't be real. But it is,@aynurbalagazade2507,0,0
“This is something that could be so ba-so magnificent.” Trump almost slipped up and said what he really meant about it being so bad.,@MeganS-g3x,0,0
I thought this was a joke or meme of some kind. This man is serious? Someone okay'd this add? So this was his goal. To build a Trump resort. I'm done.,@Simon_Electric,1,0
I will never have been keep dreaming,@magednuman,0,0
Trump Gaza best Gaza!,@neverstopschweiking,1,0
Will no one rid us of this pestilence?,@k2k273,0,0
Did he delete this from his twitter account?,@dreamybullx1,1,0
The giant gold statue tells you all you need to know.,@mattnewman1968,310,10
The song is catchy.,@coolspider295,1,0
You wanted Trump. you got it…! 🤓,@Tocesz,2,0
Make Gaza great again! That's what you voted for right?,@MischiefMagnet,0,0
And now we know why Trump needs the gold from Fort Knox.,@gulasz100,0,0
XD how it is possible that US gov is so unhinged,@asada1024,0,0
I'd rather live in the present Gaza than Trump's Gaza,@cardboardchewer,2,0
israel planned October 7th,@finlayrichardson2803,2,0
"The only explanation could be that he is senile, otherwise this is not just absurd, it's frightening as it's coming from a man with great power in his hands. Happy I'm a European right now and really worried about my US friends",@mariyakosturska4264,0,0
Oh FFS x ♾,@kittynibblets,0,0
Maybe the ppl who vote trump should seem the pass,@Matpipe3,0,0
"Tomorrow they will like Greece, the day after Malta, and after that Cyprus, etc...when will people put their foot down once and for all and end colonization and genocide forever? I am beyond sick of expecting better of us as a species. We can not allow this to keep happening...Empathy for each and every human is necessary because tomorrow, this could be any of us...on any given piece of land.",@o.a-b7212,1,0
Beyond Disgusting!,@Nara-cd2jd,1,1
"It was Feb 2025 ,the year when the US fell  .....",@TyWerks,1,0
"it's a top/down battle guys, not left/right...lest you all forget that.",@o.a-b7212,1,0
I'm literally shaking. I'll be busy all days writing furious entries in my diary,@arispaparis,1,0
"Its nice to see the president is adapting to meme culture. Too bad the left cant. Trump can troll? Oh, the agony",@co3koolkid,2,0
Haha .. my Advise for you trump .. fix ur country first .. there is too much Areas in ur country damage,@Humanity_first.005,0,0
This is vile beyond description.,@joanbyron6720,1,0
My favourite part is the bikini ladies with beards dancing on the beach,@swampybwoy,0,0
Amerika'daki oe,@UtkuANDoyuncaklarıamahangi,1,0
Amerika'daki oe,@UtkuANDoyuncaklarıamahangi,1,0
America is doomed,@Boltausgames,2,0
My ma loves trump but she never mentions when he does weird sht like this,@amberadams2935,0,0
😂😂😂,@kennyryan625,1,0
turn up the volume loudly 👊💪,@Lvlc454,1,0
Kamala would never,@aaliyahkassim9142,0,0
Golden Calf anyone?,@Donnell-c4z,2,0
It must be a troll video. Surely to goodness I has to be.,@Bobby3-x4u,0,0
Eh?!?,@shafsterk88,0,0
"Oh, Americans, what have you done to this world...",@annagdula1889,4,0
The genocide coalition has lost its mind! The indigenous native Gazans will never surrender to white settler colonization of their native lands.,@waheedtahan2428,1,0
"An embarressment to humanity, whats left of it",@fullstons,2,0
I don't want to live on this earthly plane anymore,@kemcolian2001,0,0
There are building paradise on the bones of 18000 children. This is disgusting. Please stop inhuman being.,@Al_vi_na123,2,0
What a joke of the president of the USA,@ksriparna,0,0
I just find it funny that trump shared a video with belly dancers with beards,@ulfrmolette1043,0,0
Awesome❤ from Bangladesh,@geropoint791,0,0
Cringe,@el7o,3,0
"PMSL, this is brilliant, outstanding AF. Every Guardian reader must watch this and post YouTube videos of themselves having a hissy fit.",@makinganoise6028,0,0
U.S.A 🇺🇸🦅💪ISRAËL 🇮🇱❤🌹,@ZinouBrahimi-s1e,5,0
Billionaires and millionaires in politics are only there for themselves.,@goatculler,0,0
Trump Gaza Casino and beach resort  soon😮.,@aloysiusprasetyo3737,1,0
Shouldnt the headline be Guardian News Shares Bizarre AI generated video of Trump Gaza.,@Heilviceivar,0,0
Disgraceful and sickening. So callous it's off the scale. Sad day,@BrooklynBellRoss,30,0
The beat is quite sick ngl,@yxxx2790,2,2
"Sick and disgusting, no words to describe this.....",@nanonano9728,0,0
"That's too funny. I hope Elon make America Better. Americans don't worry, trump is just a poster boy, real reason I am trusting the future is Elon knows how to make things work. Soon we might have actual flying cars.",@nitishhaldar2567,2,0
Its the bearded dancers for me😂😂,@junit1123,3,1
Palestine got to move out of Gaza or this will continue or history repeats itself as Egypt went to war in Gaza and Jordon    now Israel,@michaelnorthey3108,0,0
"Größten, wahnsinnig",@mr.a.oldschool6495,0,0
Europe happily takes on refugees from the US😂,@anjac3645,1,0
"I like it such a dichotomy to the waring Hamas/ Palestinians. Like him or hate him, flagrant & “not backward in coming forward”; the video epitomizes all that is Trump! Where lucky in that we can laugh @ it but many can’t, Lol!",@deanjericevic8912,0,0
I wish people would realize there is more to life than the ignorance and immaturity that we currently call politics,@PiaLoveBSNRNCCBTP,0,0
Sick,@anjac3645,0,0
Everyday it’s something bizarre,@Macdaddy.,1,0
Hes crazy,@jazzydude,0,0
The video reminds me of the mocking videos the IDF posted of themselves blowing Gaza up. Cruel.,@Lynn-i2w,1,0
"""I dont wanna be a wise guy. "" Buddy, you are actively shaking down the Ukrainian president for your protection money. You are a mobster.",@weggooi9177,0,0
"Verschieden Ärzte haben Trump auch vor der Wahl schon eine gestörte Persönlichkeit attestiert...Das die Ärzte recht hatten, erlebt man jeden Tag aufs neue.",@stingray7275,1,0
😂😂😂,@umidabdullaev3021,1,0
What a lovely vision for Middle East lets hope president Trump gonna deliver this project that could be TUI top sell in 2030,@bartekjasinski2626,0,0
Threw up in my mouth,@megsovegso,0,0
Turning the ragebait up to 11.,@davidbean6973,0,0
❤❤❤❤❤❤,@loribee5130,0,0
I hope it’s a bad joke from Mr. president,@Maximus63591,0,0
Someone from the avengers 100% changed smth in the past because THIS IS DEFINITELY A NEW TIMELINE WE DIDNT ASK FOR,@Couldntfindaname111,1,0
What a joke,@obz1357,1,0
What about slums in the US 😡 Fix USA.,@jennyl.2689,0,0
Are those bearded  men ?? Is this Gaza’s or the apocalypse.,@tommylikes4511,2,0
Goofy comicbook supervillain behavior. Living in the dumbest timeline.,@insight1428,1,0
@0:14  🤨,@shoahkhan5670,0,0
🇺🇸❤🇮🇱,@JeraldKennedy,0,1
😍😍😍🇮🇱 🇮🇱 🇮🇱,@nirdegoo,1,2
We truly are in a cyberpunk dystopia,@joemama-jd8bg,0,0
It’s hilarious how Trump posted an AI video that depicts him being even fatter than he actually is in real life,@Jree6700,1,0
Evil evil evil,@suf6716,2,0
Biff tannen timeline,@Wafflestomp229,0,0
But who posted the video,@OOJeZTER,0,0
"This was exactly what I needed, thanks!",@IsabelTran-c5r,0,0
A shoo-in winner for - Most Despicable World Leader of the Year 2025! Let’s go - TIME Magazine- I dare you!,@carloscansing2259,0,0
😂😂😂🤣🤣🤣🤣🤣🤣🤣,@wt9653,1,0
Love it❤,@redindigo123,1,0
Why do American-style rap and music videos always make it hard to distinguish between druggies and rappers alike? I'm really wonder about it.,@GO-zh8if,0,0
😝😝😝👌👌👌👌👌🏆🏆🏆🏆🏁🏁🏁🏁,@jaychandrakb3602,0,0
0:15  😂 😂 😂 😂,@AHas-rh4qs,1,0
Idiocracy Sequel,@keitos18,0,0
Isreal won this war,@RastamanD974,0,1
This is why I love Trump. People were ignorant of Gaza when Biden was president. Trump didn't even notice the bearded belly dancers!!! 😂,@SkullyTheHypnoSkull,0,0
So catchy.,@octobersun221,0,0
"This is from 9B, we dislike this video. We dislike Donald Trump even more. He is built like an orange. Get out Donald Trump.",@CameronMcCowan-w3h,0,0
😂i like thqt,@zackcarl7861,2,0
Love it ❤,@javidyavari9519,0,0
I don’t understand how he won,@CLOWTISMS,0,0
500 billion of our tax money for this?,@mikemiller0420,2,0
Disgusting blasphemy!,@mikeeverett6774,0,0
It's funny but in a South Park kind of way,@nikolaichenko3074,0,0
I CANT WAIIIIIIIT!!!!!!!-ricky,@BiggyRickyAwesome,1,0
Lord hold our hands while we stomach this mad age.,@OYEntertainment,2,0
Trump will get his hands on the gas fields off the coast of Gaza. That's all. He will take over every foreign country for his benefits and make money while he cuts off anyone else.,@peppermintgreen4821,3,1
Trump Gaza number 1 🎉🤑,@asdasd-os5vk,0,0
"You are dreaming, kid",@marwanlat3203,0,0
The best resort in the Mediterranean: Trump Gaza.,@d9637568,1,0
Just so farfetched and nothing to do with reality.,@RedandBlackS10,1,0
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@Tweenky_TV,1,0
"We did it to North America, we can do it anywhere! - America Man....",@superfuss1984,0,0
Gaza? He won't fix the homelessness on streets in America?,@CCSiggy-zg1rg,2,0
Nebuchadnezzar in the Book of Daniel chapter 3. 📖,@Simba______,2,0
Trump's team is trolling you and you fall for it.,@laughingvampire7555,0,0
hahahah this video is amazing. Thank you AI 🤣🤣🤣,@SigmaSaint78,1,0
😂😂😂😂😂😂😂😂,@Rafarafraff,3,0
Trump gaza!,@JDDizzle19,1,0
Increíble 🤯 🤯,@vibrusi,0,0
This is fire tho,@Craterbon,1,0
Love it. Next UK!,@zugul,1,0
Guys this is prophecized!!!! There shall be no golden statues. We must stop this,@vince8005,4,0
I love it,@HUMPDTY,1,0
Reality is if it weren’t for religion thats how Gaza would be.,@gregstewart5081,0,0
What are those guys with beards and dancing on women's dresses ? Are they trans or what ?,@TanvirAlif,4,0
I threw up in my mouth a little watching that…,@SamIAm_04,4,0
lol now this is epic,@lordsneed9418,2,0
"This is so disgusting. I'm ashamed of my so called ""leaders.""",@markonfilms,5,1
Now I wish the kid who tried to off trump didn’t miss,@Lewis-hy8hd,5,2
As if dTrumph cannot be any more disgraceful,@bradlannon,1,0
OMG! TRUMP has actually lost his mind! I want to gouge my eyes out because I can't unsee it! What a joke...,@CarolineBoudakian-g5k,3,1
W,@FAZEDNEWS69,0,0
"Getting Saddam Hussein vibes from that massive gold statue.  Say what you will, Donnie always keeps it classy 🤭🤣",@mirfjc,4,0
That was the worst music video I've ever watched,@haru-q3p,0,0
This is sick,@cptkroger,2,0
While I agree a new vision is needed this is so unfunny and poor taste is an understatement,@junineschoen4373,0,0
Why do the women at 0:14 have beards 😂,@Ian_Hawke99,4,2
On the same night he passed a bill to benefit the ultra rich… distract and conquer,@Mo0n1111,0,0
Why do the beach belly dancers have full beards?Out of control.,@danmcnamara3287,0,0
😡,@FAEZ_ICBM2,0,0
The only thing worse than this is Trump actually thinking this was something he should post!,@dadada486,42,0
"Ah, this is the timeline in which the back to the future bully becomes powerful",@vicomtedemousson5324,1,0
This is what happens when know nothing know it alls take over..we are doomed😢,@arthurlawrenson,2,0
"Loved the content, keep it coming!",@DerkXo-d9o,0,0
Dreaming,@ikramkhan7484,0,0
Trump Gaza #1 😂😂😂It's catchy,@Lrxxx321,1,0
"As portas do inferno foram abertas, é o fim do império",@esmeraldafabriserralvo8120,2,0
Where was Putin?  Why wasn't he in the video?,@tbash69,0,0
I can't wait for South Park season 28...,@itsriversnow,0,0
This is not the era I expected to live through…,@ElphabaThe2nd,1,0
Awesome.,@ivorkovac303,0,0
Won't do USAid unless it's USAnnexation.,@tommie3700,1,0
Enjoy the movie folks    🐸👌...🍿,@denverdog44,0,0
🤡,@MackanxXx,1,0
"Hilarious troll by Trump.  Surely no one's taking this seriously.  If you are,  get some help.",@dogpoofairy2517,4,1
Gaza is The 52 state .  US army get ready.,@waichoi,1,0
It's obviously a joke.  AI is hilarious.,@ChuckHolland-i4b,0,0
You know you want it. TRUMP FOR WORLD PRESIDENT,@BigG87,0,0
In your dream,@FadB-f5w,1,0
What did i just watched?! Geez...,@justusjonas2441,0,0
"So...Trump shares this.....does he know that by the time Gaza looked like this he would literally be like 130 years old, and DEAD?",@DavidEkstrom2025,1,0
Bro became sadam hossain,@wolfmelody2787,1,1
❤ too all these people that comment even tho the subject that brought us here was awful i feel safe reading the comments,@illuminated_destiny,0,0
"What lack of character and contempt for humanity can bring such cynicism into the world, while mothers are mourning their dead children in the bomb ruins of their houses!!!??? This is a disgrace for all of humanity!",@josefhasenoehrl,106,0
Looks like a trailer for GTA 6 lol,@Seal-v5k,1,0
This is so hilarious,@Uomo_Universale,0,0
"""Their heart is divided; now shall they be found faulty: he shall break down their altars, he shall spoil their images.""Hosea 10:2, KingJamesVersion",@tjipjoustra4359,2,0
I anyone else noticed that the two ladies dancing on the beach right after Elon eating have beards?😂😂😂😂😂,@ameliaarnold6815,1,0
🤣😂👍👍👍,@AndrésContreras-w2d,1,0
😮😮😮😮This is so bad... he almost told the truth. 😮,@taresandwheattarotshow1618,0,0
It's Spanish shame.....,@liudmylazaiets8293,0,0
with love from north korea,@ivanbondarchuk9360,0,0
"I like how trump is with the women , Elon eating food 😂 the song is catchy! I believe that Trump could totally transform Gaza",@ameliaarnold6815,0,0
"Bahahaha, they're all driving Teslas.😂",@adolfmcduck1265,2,0
"In the book of Daniel , King Nebuchadnezzar  had a golden statue put up just like this one.",@1of123,3,0
I just threw up in my mouth.,@cameraz99,2,0
this hits to hard,@mitchellwilley7208,1,0
I firmly believe I’m living in a matrix or another dimension now. This can’t be real life,@ell3655,1,0
"Trump Video horrible and very disrespectful as a  Christian it sickens me !  Thousands of people have died men, woman , children on the both sides  the video is beyond pathetic !",@VikingsFan-iu5kq,1,0
😍😍🙏🙏🥰🥰🥰,@wallrads,1,0
Nebuchadnezzar much?,@bbarnett7667,1,0
Trump Gaza #1 🤗🤗,@Alster763,1,0
This is sickening!!!!,@saffietje,0,0
Trump is the “Little Horn” of scripture 👹,@Carolina-4JC,0,0
That video is so sick!!! TRUMP GAZA #1,@JP-eo8xb,0,1
Mr.Trump power player ✊️ New alliance dawning 🇮🇳🇮🇱🇺🇲,@Anomalosee-d4d,2,0
"Palestine will always remain a middle eastern country belonged by Palestinians. Not an American President and definitely not its spoiled child Israel, will take it. Not so dear usa try staying there away from middle east and Europe and try minding your own business",@nad9695,0,0
Celenza’s videos are always cooler than this,@sbrechegno,0,0
That actually looks nice,@magiccarp3710,0,0
Are Americans proud?,@Gigahind.5,1,0
Omg this came from trump ... i though some kid made an Ai video as a joke and posted it on yt shorts,@MikeMW87,0,0
"I'm sure he realizes that he's not talking to investors for a new Trump Dump, but to the entire planet.  He's acting like this is a real estate deal for himself when it's supposed to be about rebuilding homes for the people whose lives have been destroyed by the Convict's buddy Netty.",@michaeljmcgee8800,0,0
That will be great,@_wizard_071,0,0
WTAF?,@onanthebarbarian9883,1,0
